# Time,Average V (Brightness) Value
1.000000000000000000e+00,7.708088464760277247e+01
2.000000000000000000e+00,8.177683891744332811e+01
3.000000000000000000e+00,8.961586356605269543e+01
4.000000000000000000e+00,1.654486139433822700e+02
5.000000000000000000e+00,8.976424870466321693e+01
6.000000000000000000e+00,8.868738672163665626e+01
7.000000000000000000e+00,8.796996733909702471e+01
8.000000000000000000e+00,7.309673666306251505e+01
9.000000000000000000e+00,6.953231657104745977e+01
1.000000000000000000e+01,6.029731477205251622e+01
1.100000000000000000e+01,5.705560904143993639e+01
1.200000000000000000e+01,6.739259762580438462e+01
1.300000000000000000e+01,7.457726583866848102e+01
1.400000000000000000e+01,7.811627663641668562e+01
1.500000000000000000e+01,8.479809567357477817e+01
1.600000000000000000e+01,9.886151180527922122e+01
1.700000000000000000e+01,7.881884036343636524e+01
1.800000000000000000e+01,7.759850689685340797e+01
1.900000000000000000e+01,7.068771537530822968e+01
2.000000000000000000e+01,6.417610575399520201e+01
2.100000000000000000e+01,7.301424224845206368e+01
2.200000000000000000e+01,7.034122014680684742e+01
2.300000000000000000e+01,5.841769491230773781e+01
2.400000000000000000e+01,7.527564713793898932e+01
2.500000000000000000e+01,8.166815249740764671e+01
2.600000000000000000e+01,8.525479391847896693e+01
2.700000000000000000e+01,9.440367784955199681e+01
2.800000000000000000e+01,9.620458648555708692e+01
2.900000000000000000e+01,9.697055114400144760e+01
3.000000000000000000e+01,1.374606272939606413e+02
3.100000000000000000e+01,1.330351139335076596e+02
3.200000000000000000e+01,1.236644566377076728e+02
3.300000000000000000e+01,1.307372361131905905e+02
3.400000000000000000e+01,1.728941176470588346e+02
3.500000000000000000e+01,nan
3.600000000000000000e+01,nan
3.700000000000000000e+01,nan
3.800000000000000000e+01,8.400000000000000000e+01
3.900000000000000000e+01,7.772448979591837315e+01
4.000000000000000000e+01,7.450000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01
4.200000000000000000e+01,nan
4.300000000000000000e+01,5.993939393939393767e+01
4.400000000000000000e+01,5.938781163434902766e+01
4.500000000000000000e+01,5.891371681415929373e+01
4.600000000000000000e+01,5.684259259259259522e+01
4.700000000000000000e+01,5.570333333333333314e+01
4.800000000000000000e+01,5.478571428571428470e+01
4.900000000000000000e+01,5.297222222222222143e+01
5.000000000000000000e+01,5.279999999999999716e+01
5.100000000000000000e+01,5.381479955039340268e+01
5.200000000000000000e+01,5.732182075805880572e+01
5.300000000000000000e+01,5.793776775648252197e+01
5.400000000000000000e+01,6.154532788407951216e+01
5.500000000000000000e+01,6.207469838071602197e+01
5.600000000000000000e+01,6.650725488916444306e+01
5.700000000000000000e+01,6.652621111302084955e+01
5.800000000000000000e+01,6.595141356813239497e+01
5.900000000000000000e+01,6.466366466905486732e+01
6.000000000000000000e+01,6.419591663523198122e+01
6.100000000000000000e+01,6.105880364988171749e+01
6.200000000000000000e+01,5.873529978793136763e+01
6.300000000000000000e+01,5.161206023491997286e+01
6.400000000000000000e+01,6.802338867187499716e+01
6.500000000000000000e+01,9.601477978422720128e+01
6.600000000000000000e+01,nan
6.700000000000000000e+01,nan
6.800000000000000000e+01,nan
6.900000000000000000e+01,nan
