# Time,Average V (Brightness) Value
1.000000000000000000e+00,2.220625866084854181e+02
2.000000000000000000e+00,2.217402395049637107e+02
3.000000000000000000e+00,2.207029624193454538e+02
4.000000000000000000e+00,2.162260864032126335e+02
5.000000000000000000e+00,2.135666670138274128e+02
6.000000000000000000e+00,2.119022680496403268e+02
7.000000000000000000e+00,2.214844238281249886e+02
8.000000000000000000e+00,nan
9.000000000000000000e+00,9.312925403918872291e+01
1.000000000000000000e+01,1.131733437313577042e+02
1.100000000000000000e+01,1.155864173846314884e+02
1.200000000000000000e+01,nan
1.300000000000000000e+01,5.051396648044692483e+01
1.400000000000000000e+01,nan
1.500000000000000000e+01,nan
1.600000000000000000e+01,nan
1.700000000000000000e+01,nan
1.800000000000000000e+01,nan
1.900000000000000000e+01,nan
2.000000000000000000e+01,nan
2.100000000000000000e+01,nan
2.200000000000000000e+01,nan
2.300000000000000000e+01,nan
2.400000000000000000e+01,nan
2.500000000000000000e+01,nan
2.600000000000000000e+01,nan
2.700000000000000000e+01,nan
2.800000000000000000e+01,6.048676757812499716e+01
2.900000000000000000e+01,1.491116713073455458e+02
3.000000000000000000e+01,1.524182690498588784e+02
3.100000000000000000e+01,1.410928863192976621e+02
3.200000000000000000e+01,9.073519560671233819e+01
3.300000000000000000e+01,5.749771323551565416e+01
3.400000000000000000e+01,9.129926037169138908e+01
3.500000000000000000e+01,7.039076822916666742e+01
3.600000000000000000e+01,6.652211078075526984e+01
3.700000000000000000e+01,5.052941176470588402e+01
3.800000000000000000e+01,nan
3.900000000000000000e+01,5.631982923854329925e+01
4.000000000000000000e+01,6.160175222871195899e+01
4.100000000000000000e+01,8.270967741935483275e+01
4.200000000000000000e+01,5.432230080150872453e+01
4.300000000000000000e+01,6.065625000000000000e+01
4.400000000000000000e+01,5.024501424501424651e+01
4.500000000000000000e+01,7.421572889300496456e+01
4.600000000000000000e+01,7.059092982367228331e+01
4.700000000000000000e+01,7.428906926949434819e+01
4.800000000000000000e+01,1.146867900807110345e+02
4.900000000000000000e+01,1.256664930663194610e+02
5.000000000000000000e+01,1.413278710937499909e+02
5.100000000000000000e+01,1.919397753906249875e+02
5.200000000000000000e+01,2.228675426999630247e+02
5.300000000000000000e+01,1.859352108472263581e+02
5.400000000000000000e+01,1.080086743589619687e+02
5.500000000000000000e+01,nan
5.600000000000000000e+01,nan
5.700000000000000000e+01,5.068376068376068133e+01
5.800000000000000000e+01,7.359169800904039960e+01
5.900000000000000000e+01,nan
6.000000000000000000e+01,5.547527210234867567e+01
6.100000000000000000e+01,nan
6.200000000000000000e+01,5.070121235823230421e+01
6.300000000000000000e+01,nan
6.400000000000000000e+01,5.859421935033181938e+01
6.500000000000000000e+01,1.087560156250000034e+02
6.600000000000000000e+01,1.724557881622124285e+02
6.700000000000000000e+01,1.357582857710882251e+02
6.800000000000000000e+01,7.763057324840764295e+01
6.900000000000000000e+01,1.153047526709771660e+02
7.000000000000000000e+01,8.740580262600593642e+01
7.100000000000000000e+01,6.196532983508245707e+01
7.200000000000000000e+01,5.890109180558816604e+01
7.300000000000000000e+01,9.051616614588100163e+01
7.400000000000000000e+01,nan
7.500000000000000000e+01,1.291196203660995820e+02
7.600000000000000000e+01,1.215113704668403187e+02
7.700000000000000000e+01,nan
7.800000000000000000e+01,nan
7.900000000000000000e+01,nan
8.000000000000000000e+01,nan
8.100000000000000000e+01,nan
8.200000000000000000e+01,nan
8.300000000000000000e+01,nan
8.400000000000000000e+01,nan
8.500000000000000000e+01,nan
8.600000000000000000e+01,nan
8.700000000000000000e+01,nan
8.800000000000000000e+01,nan
8.900000000000000000e+01,nan
9.000000000000000000e+01,nan
9.100000000000000000e+01,nan
9.200000000000000000e+01,nan
9.300000000000000000e+01,nan
9.400000000000000000e+01,nan
9.500000000000000000e+01,nan
9.600000000000000000e+01,nan
9.700000000000000000e+01,nan
9.800000000000000000e+01,nan
9.900000000000000000e+01,nan
1.000000000000000000e+02,nan
1.010000000000000000e+02,nan
1.020000000000000000e+02,nan
1.030000000000000000e+02,nan
1.040000000000000000e+02,nan
1.050000000000000000e+02,nan
1.060000000000000000e+02,nan
1.070000000000000000e+02,nan
1.080000000000000000e+02,nan
1.090000000000000000e+02,nan
1.100000000000000000e+02,nan
1.110000000000000000e+02,nan
1.120000000000000000e+02,nan
1.130000000000000000e+02,nan
1.140000000000000000e+02,nan
1.150000000000000000e+02,nan
1.160000000000000000e+02,nan
1.170000000000000000e+02,nan
1.180000000000000000e+02,nan
1.190000000000000000e+02,nan
1.200000000000000000e+02,nan
